info_id,emp_id,number_consumers,mode,dining_table_id,dining_table_name,expenditure,dishes_count,accounts_payable,use_start_time,check_closed,lock_time,cashier_id,pc_id,order_number,org_id,print_doc_bill_num,lock_table_info,order_status,phone,name
417,1442,4,NA,1501,1022,165,5,165,8/1/2016 11:05,NA,8/1/2016 11:11,NA,NA,NA,330,NA,NA,1,18688880641,苗宇怡
301,1095,3,NA,1430,1031,321,6,321,8/1/2016 11:15,NA,8/1/2016 11:31,NA,NA,NA,328,NA,NA,1,18688880174,赵颖
413,1147,6,NA,1488,1009,854,15,854,8/1/2016 12:42,NA,8/1/2016 12:54,NA,NA,NA,330,NA,NA,1,18688880276,徐毅凡
415,1166,4,NA,1502,1023,466,10,466,8/1/2016 12:51,NA,8/1/2016 13:08,NA,NA,NA,330,NA,NA,1,18688880231,张大鹏
392,1094,10,NA,1499,1020,704,24,704,8/1/2016 12:58,NA,8/1/2016 13:07,NA,NA,NA,330,NA,NA,1,18688880173,孙熙凯
381,1243,4,NA,1487,1008,239,7,239,8/1/2016 13:15,NA,8/1/2016 13:23,NA,NA,NA,330,NA,NA,1,18688880441,沈晓雯
429,1452,4,NA,1501,1022,699,15,699,8/1/2016 13:17,NA,8/1/2016 13:34,NA,NA,NA,330,NA,NA,1,18688880651,苗泽坤
433,1109,8,NA,1490,1011,511,14,511,8/1/2016 13:38,NA,8/1/2016 13:50,NA,NA,NA,330,NA,NA,1,18688880212,李达明
569,1143,6,NA,1488,1009,326,9,326,8/1/2016 17:06,NA,8/1/2016 17:18,NA,NA,NA,330,NA,NA,1,18688880272,陈有浩
655,1268,8,NA,1492,1013,263,10,263,8/1/2016 17:32,NA,8/1/2016 17:44,NA,NA,NA,330,NA,NA,1,18688880466,沈丹丹
577,1150,7,NA,1492,1013,380,7,380,8/1/2016 17:37,NA,8/1/2016 17:50,NA,NA,NA,330,NA,NA,1,18688880279,胡煜
622,1220,4,NA,1483,1004,164,7,164,8/1/2016 17:40,NA,8/1/2016 17:47,NA,NA,NA,330,NA,NA,1,18688880419,徐骏太
651,1593,3,NA,1485,1006,137,5,137,8/1/2016 18:12,NA,8/1/2016 18:20,NA,NA,NA,330,NA,NA,1,18688880792,高僖桐
694,1122,8,NA,1492,1013,819,10,819,8/1/2016 18:26,NA,8/1/2016 18:37,NA,NA,NA,330,NA,NA,1,18688880316,朱钰
462,1187,7,NA,1490,1011,431,13,431,8/1/2016 18:45,NA,8/1/2016 18:49,NA,NA,NA,330,NA,NA,1,18688880366,孙新潇
458,1455,2,NA,1480,1001,700,14,700,8/1/2016 19:27,NA,8/1/2016 19:31,NA,NA,NA,330,NA,NA,1,18688880654,牛长金
467,1213,10,NA,1495,1016,615,15,615,8/1/2016 19:40,NA,,NA,NA,NA,330,NA,NA,0,18688880412,赵英
562,1552,8,NA,1508,1029,366,7,366,8/1/2016 19:44,NA,8/1/2016 19:57,NA,NA,NA,330,NA,NA,1,18688880751,王嘉淏
486,1156,7,NA,1492,1013,443,12,443,8/1/2016 20:31,NA,8/1/2016 20:36,NA,NA,NA,330,NA,NA,1,18688880285,张芳语
517,1008,2,NA,1480,1001,294,7,294,8/1/2016 21:11,NA,8/1/2016 21:21,NA,NA,NA,330,NA,NA,1,18688880027,许和怡
452,1114,8,NA,1492,1013,167,7,167,8/1/2016 21:19,NA,8/1/2016 21:29,NA,NA,NA,330,NA,NA,1,18688880193,邵昱笑
448,1449,6,NA,1505,1026,609,14,609,8/1/2016 21:37,NA,8/1/2016 21:52,NA,NA,NA,330,NA,NA,1,18688880648,苗秋兰
193,1084,3,NA,1401,1005,238,8,238,8/2/2016 11:20,NA,8/2/2016 11:33,NA,NA,NA,328,NA,NA,1,18688880163,张靖雯
166,986,2,NA,1402,1003,260,7,260,8/2/2016 11:22,NA,8/2/2016 11:30,NA,NA,NA,328,NA,NA,1,18688880005,莫子建
342,1450,2,NA,1402,1003,109,5,109,8/2/2016 11:58,NA,8/2/2016 12:10,NA,NA,NA,328,NA,NA,1,18688880649,苗家畅
260,990,4,NA,1421,1022,302,9,302,8/2/2016 12:35,NA,8/2/2016 12:53,NA,NA,NA,328,NA,NA,1,18688880009,张馥雨
367,1119,4,NA,1483,1004,639,13,639,8/2/2016 12:58,NA,8/2/2016 13:17,NA,NA,NA,330,NA,NA,1,18688880198,康雅欣
368,1125,4,NA,1500,1021,211,6,211,8/2/2016 13:08,NA,8/2/2016 13:22,NA,NA,NA,330,NA,NA,1,18688880317,周子轩
